,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Jamestown,0,AU,1536099410,45,-33.21,138.6,4.34,4.96
1,Mataura,20,NZ,1536099395,87,-46.19,168.86,1.84,1.31
2,Lagoa,75,PT,1536096600,88,37.14,-8.45,21.0,3.1
3,Barranca,64,PE,1536099434,100,-10.75,-77.76,16.09,2.76
4,Busselton,12,AU,1536099384,100,-33.64,115.35,12.34,10.56
5,Rikitea,8,PF,1536099403,100,-23.12,-134.97,21.79,11.96
6,Thompson,90,CA,1536094800,87,55.74,-97.86,11.0,5.1
7,Kahului,40,US,1536094560,74,20.89,-156.47,30.6,10.8
8,Albany,40,US,1536098040,44,42.65,-73.75,30.0,3.1
9,Saint-Louis,0,CH,1536097800,87,47.59,7.56,15.0,1.5
10,Sioux Lookout,90,CA,1536098340,100,50.1,-91.92,22.0,2.1
11,Bluff,24,AU,1536099435,75,-23.58,149.07,14.59,4.71
12,Tuktoyaktuk,75,CA,1536094800,74,69.44,-133.03,2.0,3.6
13,Klyuchevskiy,44,RU,1536099435,64,53.53,119.45,5.74,2.91
14,Vaini,100,IN,1536099405,99,15.34,74.49,20.99,2.21
15,Taoudenni,44,ML,1536099435,21,22.68,-3.98,34.84,0.91
16,Constitucion,40,MX,1536097500,34,23.99,-104.67,26.0,1.5
17,Mar del Plata,0,AR,1536099256,37,-46.43,-67.52,12.89,2.01
18,Hobart,0,AU,1536098400,87,-42.88,147.33,7.0,3.1
19,Punta Arenas,75,CL,1536098400,64,-53.16,-70.91,3.0,7.7
20,Ilulissat,36,GL,1536097800,64,69.22,-51.1,4.0,4.1
21,Kapaa,75,US,1536098940,82,22.08,-159.32,30.6,6.2
22,Gualeguaychu,0,AR,1536099436,48,-33.01,-58.51,19.29,3.76
23,Mamanguape,20,BR,1536098400,83,-6.83,-35.12,23.0,3.1
24,Puerto Ayora,40,EC,1536098400,61,-0.74,-90.35,26.0,3.1
25,New Norfolk,0,AU,1536098400,87,-42.78,147.06,7.0,3.1
26,Evensk,0,RU,1536099436,100,61.92,159.24,9.49,1.66
27,Nanortalik,92,GL,1536099437,100,60.14,-45.24,3.44,13.11
28,Ust-Tsilma,0,RU,1536099437,89,65.44,52.15,11.94,2.41
29,Yellowknife,90,CA,1536094800,66,62.45,-114.38,10.0,7.2
30,Tautira,20,PF,1536098400,61,-17.73,-149.15,27.0,5.1
31,Qaanaaq,76,GL,1536099437,100,77.48,-69.36,0.04,3.36
32,Paamiut,92,GL,1536099438,96,61.99,-49.67,5.49,3.46
33,Carnarvon,0,ZA,1536099399,31,-30.97,22.13,7.39,4.06
34,Calbuco,75,CL,1536098400,76,-41.77,-73.13,13.0,3.1
35,Socoltenango,20,MX,1536099438,83,16.22,-92.25,25.89,1.36
36,Ushuaia,75,AR,1536098400,80,-54.81,-68.31,1.0,8.7
37,Dingzhou,0,CN,1536094800,64,38.51,115.0,22.0,3.0
38,Nikolskoye,40,RU,1536096600,93,59.7,30.79,17.0,3.0
39,Hermanus,100,ZA,1536099414,97,-34.42,19.24,10.94,2.26
40,Vad,36,RO,1536099439,75,45.79,25.15,11.89,0.96
41,San Quintin,40,PH,1536098400,94,17.54,120.52,24.0,1.0
42,Salalah,75,OM,1536097800,94,17.01,54.1,24.0,2.1
43,Avarua,75,CK,1536098400,61,-21.21,-159.78,25.0,8.7
44,Shingu,8,JP,1536099282,95,33.72,135.99,25.79,6.51
45,Ostrovnoy,100,RU,1536099439,100,68.05,39.51,9.79,6.01
46,Isesaki,1,JP,1536098160,93,36.31,139.19,22.7,2.1
47,Khandyga,8,RU,1536099440,93,62.65,135.58,2.39,1.21
48,Hithadhoo,20,MV,1536099398,100,-0.6,73.08,27.29,1.81
